2025-10-26T23:05:54.000000000Z [inf]  Starting Container
2025-10-26T23:05:55.180307293Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-10-26T23:05:55.180418475Z [inf]  ======================================
2025-10-26T23:05:55.180423297Z [inf]  🚂 RAILWAY STARTUP SCRIPT
2025-10-26T23:05:55.180428743Z [inf]  ======================================
2025-10-26T23:05:55.180433209Z [inf]  Time: Sun Oct 26 23:05:54 UTC 2025
2025-10-26T23:05:55.180437997Z [inf]  
2025-10-26T23:05:55.180442197Z [inf]  🔄 Running database migrations with drizzle-kit...
2025-10-26T23:05:55.180447287Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-10-26T23:05:55.235062927Z [inf]  Using 'pg' driver for database querying
2025-10-26T23:05:55.371704411Z [inf]  [⣷] Pulling schema from database...
2025-10-26T23:05:55.494114870Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-26T23:05:55.604937587Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-26T23:05:55.737099693Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-26T23:05:56.159312829Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-10-26T23:05:56.159360211Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-26T23:05:56.159367329Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-10-26T23:05:56.246927955Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-10-26T23:05:56.379824252Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-26T23:05:56.504422124Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-26T23:05:56.631362188Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-26T23:05:56.756476114Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-26T23:05:57.177244792Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-10-26T23:05:57.177251841Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-10-26T23:05:57.177258847Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-10-26T23:05:57.280549345Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-26T23:05:57.398294178Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-26T23:05:57.398300823Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-10-26T23:05:57.512529681Z [inf]  [✓] Changes applied
2025-10-26T23:05:57.512537472Z [inf]  
2025-10-26T23:05:57.512543086Z [inf]  ✅ Database migrations completed successfully!
2025-10-26T23:05:57.512548711Z [inf]  
2025-10-26T23:05:57.512554106Z [inf]  🚀 Starting Node.js application...
2025-10-26T23:05:58.432125790Z [inf]  [db] ✅ Added sslmode=no-verify to connection string for production
2025-10-26T23:05:58.432132132Z [inf]  [db] Environment: NODE_ENV=production, PORT=8080
2025-10-26T23:05:58.432137365Z [inf]  [db] Using DATABASE_URL: postgresql://***@postgres.railway.internal:5432/railway
2025-10-26T23:05:58.432142366Z [inf]  [db] Pool config: connectionTimeoutMillis=5000, ssl=enabled (rejectUnauthorized: false)
2025-10-26T23:05:58.432147619Z [inf]  [db] SSL Configuration: {"rejectUnauthorized":false}
2025-10-26T23:05:58.432153198Z [inf]  [db] Connection string includes SSL params: true
2025-10-26T23:05:58.432157885Z [inf]  [PERFORMANCE] System prompt base cached (21338 chars) - saves ~4KB per request
2025-10-26T23:05:58.432163343Z [inf]  [PLATFORM-HEALING] PROJECT_ROOT: /app
2025-10-26T23:05:58.432168616Z [inf]  [PERFORMANCE] Compression middleware enabled - responses will be 70-80% smaller
2025-10-26T23:05:58.439284846Z [inf]  📡 WebSocket server initialized at /ws
2025-10-26T23:05:58.439293905Z [inf]  [PLATFORM-HEALING] Session manager connected to WebSocket
2025-10-26T23:05:58.439298678Z [inf]  [PLATFORM-METRICS] Starting WebSocket broadcaster (5s intervals)
2025-10-26T23:05:58.445387050Z [inf]  ✅ All routes registered successfully
2025-10-26T23:05:58.446899108Z [inf]  🔍 Testing database connection...
2025-10-26T23:05:58.477685711Z [inf]  11:05:58 PM [express] serving on port 8080
2025-10-26T23:05:58.477694682Z [inf]  🌐 Server accessible at http://0.0.0.0:8080
2025-10-26T23:05:58.594909751Z [inf]     - Maintenance mode: Available for owner
2025-10-26T23:05:58.594917503Z [inf]  
2025-10-26T23:05:58.594933548Z [inf]  ✅ Database connected successfully
2025-10-26T23:05:58.594949393Z [inf]  🔧 Auto-healing system ENABLED (production mode)
2025-10-26T23:05:58.594956640Z [inf]  
2025-10-26T23:05:58.594962828Z [inf]  🔍 Checking GitHub integration configuration...
2025-10-26T23:05:58.594970648Z [inf]  ✅ GitHub integration configured successfully
2025-10-26T23:05:58.594976928Z [inf]     - Repository: 6-7Development/archetype
2025-10-26T23:05:58.594982977Z [inf]     - Branch: main
2025-10-26T23:05:58.594988125Z [inf]     - Token: ✓ (configured)
2025-10-26T23:05:58.594993849Z [inf]     - Owner User ID: Not set (owner must be manually marked in database)
2025-10-26T23:06:18.602319654Z [err]  Failed to get git info, using defaults: Error: spawn git ENOENT
2025-10-26T23:06:18.602323542Z [err]    stderr: ''
2025-10-26T23:06:18.602329555Z [err]      at ChildProcess._handle.onexit (node:internal/child_process:285:19)
2025-10-26T23:06:18.602336909Z [err]  }
2025-10-26T23:06:18.602337472Z [err]      at onErrorNT (node:internal/child_process:483:16)
2025-10-26T23:06:18.602345121Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-10-26T23:06:18.602348313Z [inf]  11:06:11 PM [express] GET /api/deployment-info 200 in 10ms :: {"version":"1.0.0","commitHash":"unknow…
2025-10-26T23:06:18.602351641Z [err]    errno: -2,
2025-10-26T23:06:18.602357023Z [inf]  [AUTH] Login attempt for email: root@getdc360.com
2025-10-26T23:06:18.602359119Z [err]    code: 'ENOENT',
2025-10-26T23:06:18.602366256Z [err]    syscall: 'spawn git',
2025-10-26T23:06:18.602366834Z [inf]  [AUTH] Found users: 1
2025-10-26T23:06:18.602373614Z [err]    path: 'git',
2025-10-26T23:06:18.602375324Z [inf]  [AUTH] User found: root@getdc360.com has password: true
2025-10-26T23:06:18.602380708Z [err]    spawnargs: [ 'rev-parse', 'HEAD' ],
2025-10-26T23:06:18.602382845Z [inf]  [AUTH] Verifying password...
2025-10-26T23:06:18.602387358Z [err]    cmd: 'git rev-parse HEAD',
2025-10-26T23:06:18.602393401Z [inf]  [AUTH] Password valid: true
2025-10-26T23:06:18.602393650Z [err]    stdout: '',
2025-10-26T23:06:18.602399717Z [inf]  [AUTH] Authentication successful for: root@getdc360.com
2025-10-26T23:06:18.602405096Z [inf]  11:06:14 PM [express] POST /api/auth/login 200 in 278ms :: {"success":true,"user":{"id":"723e1301-c72…
2025-10-26T23:06:18.602410986Z [inf]  11:06:14 PM [express] GET /api/projects 304 in 12ms :: []
2025-10-26T23:06:18.602416625Z [inf]  11:06:14 PM [express] GET /api/auth/me 304 in 81ms :: {"user":{"id":"723e1301-c729-48fc-810a-39ddef95…
2025-10-26T23:06:18.604554745Z [inf]  11:06:18 PM [express] GET /api/auth/me 304 in 5ms :: {"user":{"id":"723e1301-c729-48fc-810a-39ddef954…
2025-10-26T23:06:18.604562399Z [inf]  11:06:18 PM [express] GET /api/projects 304 in 7ms :: []
2025-10-26T23:06:22.552664061Z [inf]  11:06:22 PM [express] GET /api/auth/me 304 in 5ms :: {"user":{"id":"723e1301-c729-48fc-810a-39ddef954…
2025-10-26T23:06:22.552671123Z [inf]  11:06:22 PM [express] GET /api/projects 304 in 9ms :: []
2025-10-26T23:06:24.763979603Z [inf]  11:06:24 PM [express] GET /api/admin/stats 200 in 30ms
2025-10-26T23:06:24.769647509Z [inf]  11:06:24 PM [express] GET /api/admin/users 200 in 34ms
2025-10-26T23:06:24.769653649Z [inf]  11:06:24 PM [express] GET /api/maintenance-mode/status 304 in 28ms :: {"enabled":true,"reason":"fixin…
2025-10-26T23:06:24.770859061Z [inf]  11:06:24 PM [express] GET /api/admin/usage-logs 200 in 32ms
2025-10-26T23:06:24.779845928Z [inf]  11:06:24 PM [express] GET /api/admin/analytics 200 in 29ms
2025-10-26T23:06:26.366370893Z [inf]  11:06:26 PM [express] GET /api/platform/status 200 in 16ms :: {"overallHealth":100,"activeIncidents":…
2025-10-26T23:06:26.514355015Z [inf]  ✅ WebSocket client connected
2025-10-26T23:06:26.593505246Z [inf]  📡 [WS] Session registered: userId=admin, sessionId=platform-healing
2025-10-26T23:06:56.640844927Z [inf]  [HEAL-SESSION] Created session heal-1761520015056-ikvw137ox for user 723e1301-c729-48fc-810a-39ddef954ae2
2025-10-26T23:06:56.640848636Z [err]  [PLATFORM-BACKUP] ⚠️ Git unavailable, skipping backup: spawn git ENOENT
2025-10-26T23:06:56.640852683Z [inf]  11:06:55 PM [express] POST /api/platform/heal 200 in 89ms :: {"sessionId":"heal-1761520015056-ikvw137…
2025-10-26T23:07:26.378319955Z [inf]  [HEAL-SESSION] Completed session heal-1761520015056-ikvw137ox with 0 changes
